Team,No,Pts,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,Eff,Deff
Sacramento,2,104,45.3,23.3,8.8,4.6,13.5,19.8,32.9,12.4,120.3,12.4
San Antonio,3,96.1,42.2,19.7,7.5,6.5,13.5,19.3,31.1,11.1,109.4,11.3
Minnesota,4,99.4,44.3,24,6.4,5.1,13.1,21.4,31.4,13,116.4,9.7
New Jersey,5,96,43.2,23.7,8.6,5.9,14.2,21.8,30.6,12.6,110.6,9
Utah,6,95.6,42.2,24.3,9.1,6.4,15.7,24.1,28.6,13.6,112,8.6
Seattle,7,97.1,40.3,23.1,8.2,4.5,13.1,21.3,28.5,11.8,111.7,5.6
Portland,8,96.5,43.1,23.4,8.6,4.4,13.6,19.9,29.9,13.2,111.8,5.5
Dallas,9,105.6,42.5,21.9,7,4.8,11.7,22.7,31.3,11.2,119.6,4.9
Charlotte,10,94.1,43.7,21.3,8.1,5.7,13.5,21.9,30.6,13.1,107.5,4.8
Detroit,11,93.1,38.6,21.2,7.8,6.8,13.8,20.7,28.8,9.8,105.5,3.7
Indiana,12,96.5,42.6,22.9,8,5.2,14.7,23,31.5,11.2,110.4,2.8
Philadelphia,13,90.9,44,19.9,8.6,4.4,14.3,20,30.8,13.3,103.6,2.6
Miami,14,87.2,42,20.3,6.7,5.5,14.1,22.5,31,11,98.2,2.5
Toronto,15,91,42.1,21.7,8.4,5.5,13.6,21.7,28.6,13.5,103.2,1.9
Milwaukee,16,97.5,41.4,22.5,7.3,4.7,13.6,21.8,31.2,10.3,111.4,1
Boston,17,95.5,42.4,20.6,9.5,3.8,13.3,21.9,31.6,10.8,106,0
Phoenix,18,95.1,42.7,22.4,8.2,4.9,14.2,21.8,29.6,13.1,107.6,-1.6
L.A.Clippers,19,95.7,43.4,20.9,6.2,6.6,14,19.8,30.2,13.2,107.2,-2.4
Washington,20,92.8,42,20.9,7,4.3,12.2,21.5,29.2,12.9,104.1,-2.9
Orlando,21,100.2,41.2,21.9,8,4.6,13.2,21,29.8,11.4,110.5,-3.2
Cleveland,22,95.3,42.1,23.1,7,5.7,13.8,21.4,30.3,11.8,109.5,-3.8
New York,23,91.6,40.7,21,6.8,3.5,14.1,22,30,10.7,99.7,-9.6
Atlanta,24,94,41.5,20.2,8.1,4.3,14.7,20.7,29.8,11.6,102.6,-11.6
Golden State,25,97.7,46.7,20.8,7.9,6.4,16.2,23,30.4,16.3,106.7,-13
Houston,26,92.3,41.9,18.1,6.5,5.4,13.1,18,29.4,12.5,99,-14.7
Denver,27,92.2,41.8,22.2,7.5,5.6,13.8,22.8,28.2,13.6,101.7,-14.7
Memphis,28,89.9,41.4,21.7,7.9,5.9,15.7,19.2,29.4,12,99.6,-16.9
Chicago,29,89.5,40,22.2,7.7,4.4,14.3,22.4,28.8,11.3,98,-18.4
Sacramento,1,102.5,44.5,24.5,8.8,5.4,14.1,20.7,33.3,11.2,120.1,14.5
Utah,2,94.6,41.4,25.4,8.6,5.7,15.9,22.5,28.8,12.5,112,12.4
Dallas,4,103.2,42.1,22,7.7,5.4,11.2,21.7,31,11.1,118.8,10.9
New Jersey,5,95.2,43.4,22.8,8.5,4.5,14.6,22.3,31,12.4,108.2,10.5
Indiana,6,96.4,44.4,23.1,8.4,5.4,14,22.2,32.1,12.3,112,8.6
Minnesota,7,98.3,43.5,25,6.8,5.2,13.4,21,32,11.5,115.9,8.1
L.A.Lakers,8,100.4,44.2,23,7.7,5.7,14,23,31.1,13,114,6
New Orleans,9,93.8,43.3,21.9,8,4.8,14,21.8,30,13.3,106.4,5.7
Detroit,10,91.1,40.3,19.4,7,5.7,12.7,21.7,29.6,10.8,101.2,4.9
Portland,11,95.6,41.4,22.7,8.6,3.8,14.4,20.1,29.1,12.3,108.9,4.3
Philadelphia,12,96.2,42.1,21.3,9.9,3.3,14.1,22.2,29.5,12.6,108.3,3.2
Houston,13,93.8,43.8,18.4,7.2,6,14.6,19.5,31.3,12.5,104.6,2.3
